id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
41802,0.211813,tcp,-,FIN,10,6,534,268,70.817182,254,252,18166.96875,8460.292969,2,1,21.653,31.709,1152.413594,47.03827,255,2484328167,3618423546,255,0.082602,0.053235,0.029367,53,45,0,0,6,1,2,2,1,6,0,0,0,2,6,0,Normal,0
28286,1.303767,tcp,-,FIN,122,126,7820,15736,189.451034,31,29,47591.32813,95796.25781,30,32,10.772041,10.595252,733.684229,728.851226,255,270213479,2428659312,255,0.000672,0.000546,0.000126,64,125,0,0,6,0,2,1,1,3,0,0,0,3,5,0,Normal,0
159143,59.49752,ospf,-,INT,54,0,14688,0,0.890793,254,0,1938.366455,0.0,0,0,1122.594375,0.0,1293.59325,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,2,2,5,2,2,6,0,0,0,4,2,0,Reconnaissance,1
58994,1e-06,unas,-,INT,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Exploits,1
56456,9e-06,aris,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0,Exploits,1
143214,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,22,2,20,20,10,22,0,0,0,20,22,0,Generic,1
82532,7.726426,tcp,smtp,FIN,702,122,922652,6312,106.517552,62,252,953960.3125,6482.686523,348,8,11.022006,62.697949,1301.598024,72.985953,255,4276306765,1791734370,255,0.143775,0.08952,0.054255,1314,52,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Exploits,1
14028,12.469439,tcp,-,FIN,230,438,13246,548216,53.49078,31,29,8461.648438,350915.5625,21,197,54.450182,28.533059,23006.22228,16675.49193,255,3761361419,3827039677,255,0.000613,0.000488,0.000125,58,1252,0,0,3,0,5,1,1,4,0,0,0,1,9,0,Normal,0
78904,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,6,2,1,1,1,1,0,0,0,3,1,0,Reconnaissance,1
126833,8e-06,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,49,2,41,41,22,49,0,0,0,42,49,0,Generic,1
6756,0.019919,tcp,-,FIN,48,50,2974,30506,4869.722237,31,29,1169938.25,12007028.0,7,18,0.445636,0.395531,25.917734,24.245722,255,1430594854,3580457962,255,0.000651,0.00053,0.000121,62,610,0,0,2,0,3,1,1,1,0,0,0,4,3,0,Normal,0
58740,4e-06,unas,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,18,3,0,DoS,1
70398,0.412722,tcp,http,FIN,10,6,832,268,36.344077,254,252,14518.24707,4341.905762,2,1,43.861222,69.258797,2147.343133,96.86693,255,2270364517,2039870588,255,0.098048,0.066425,0.031623,83,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Exploits,1
79113,9e-06,udp,-,INT,2,0,168,0,111111.1072,254,0,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Reconnaissance,1
24597,0.030869,tcp,-,FIN,72,74,4238,63516,4697.269157,31,29,1083287.5,16238427.0,7,30,0.430296,0.415315,22.790539,22.489302,255,1876908034,1877213282,255,0.000679,0.00054,0.000139,59,858,0,0,6,0,2,1,1,1,0,0,0,2,3,0,Normal,0
38228,1.107865,tcp,http,FIN,12,18,1580,10168,26.176475,31,29,10463.36914,69351.41406,3,5,100.601182,65.135117,10342.27552,8327.967872,255,3024522018,3025557291,255,0.000684,0.000565,0.000119,132,565,1,3924,2,0,4,1,1,2,0,0,1,4,2,0,Normal,0
99824,1e-05,udp,-,INT,2,0,1652,0,100000.0025,254,0,660800000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,826,0,0,0,6,2,1,1,1,6,0,0,0,1,6,0,Fuzzers,1
134710,6e-06,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,16,16,16,29,0,0,0,16,29,0,Generic,1
128547,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,13,2,13,13,7,13,0,0,0,22,13,0,Generic,1
149727,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,31,2,13,13,13,31,0,0,0,13,31,0,Generic,1
39454,0.050328,tcp,-,FIN,74,74,4326,64070,2920.839214,31,29,678429.5,10046892.0,7,30,0.693708,0.681301,43.767997,1.158475,255,115014890,2264900400,255,0.00071,0.000584,0.000126,58,866,0,0,12,0,3,1,1,1,0,0,0,6,2,0,Normal,0
50649,1.103815,tcp,-,FIN,10,6,512,268,13.589234,254,252,3341.139648,1623.460571,2,1,116.423778,193.520594,6259.077878,297.269906,255,1077799285,2409507966,255,0.243878,0.136203,0.107675,51,45,0,0,4,1,2,2,2,3,0,0,0,2,3,0,Fuzzers,1
150270,5e-06,udp,dns,INT,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,24,2,8,8,8,24,0,0,0,8,24,0,Generic,1
96419,1.1e-05,sctp,-,INT,2,0,640,0,90909.0902,254,0,232727264.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,320,0,0,0,1,2,1,1,1,1,0,0,0,20,1,0,DoS,1
103523,3.339001,tcp,ftp,FIN,24,14,17476,768,11.081159,254,252,40126.97266,1710.691284,9,4,145.130738,248.161313,14498.60434,548.666625,255,3026892290,892767769,255,0.240535,0.112896,0.127639,728,55,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Fuzzers,1
122669,1e-06,udp,dns,INT,2,0,114,0,1000000.003,254,0,456000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,16,16,16,26,0,0,0,17,26,0,Generic,1
105884,9e-06,xns-idp,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0,DoS,1
791,2.165437,tcp,-,FIN,16,18,1540,1644,15.239418,31,29,5334.720215,5737.410156,4,4,144.333732,127.291,10025.85228,232.840359,255,3509079117,3367819436,255,0.001613,0.001487,0.000126,96,91,0,0,17,0,7,11,1,6,0,0,0,13,6,0,Normal,0
119428,0.472396,tcp,-,FIN,10,8,756,354,35.986758,254,252,11532.69727,5249.833008,2,1,48.980778,62.504715,3218.111026,120.225227,255,2634154110,2367448983,255,0.096441,0.034859,0.061582,76,44,0,0,2,1,2,2,1,2,0,0,0,3,2,0,Fuzzers,1
58699,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,Exploits,1
88561,0.973064,tcp,-,FIN,10,8,534,354,17.470588,254,252,3954.518799,2548.650391,2,1,105.108556,129.90657,5920.831882,223.490484,255,2806299168,2782997213,255,0.141784,0.06371,0.078074,53,44,0,0,4,1,1,1,1,2,0,0,0,3,2,0,Normal,0
152100,9e-06,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,2,28,28,14,37,0,0,0,28,37,0,Generic,1
